ID,COMPLETED_DT
1123460765,2022-11-16 19:55:06.980
1123467472,2022-11-16 19:55:00.993
1123466079,2022-11-16 19:53:01.427
1123458785,2022-11-16 19:48:05.010
1123462230,2022-11-16 19:45:01.407
1123458365,2022-11-16 19:44:04.043
1123466884,2022-11-16 19:43:01.320
1123459411,2022-11-16 19:40:03.123
1123467625,2022-11-16 19:39:07.483
1123465983,2022-11-16 19:37:00.933
1123460854,2022-11-16 19:36:02.043
1123461252,2022-11-16 19:35:02.290
1123461123,2022-11-16 19:34:04.197
1123462404,2022-11-16 19:34:01.290
1123459099,2022-11-16 19:33:03.307
1123460073,2022-11-16 19:33:01.273
1123459764,2022-11-16 19:32:01.307
1123464158,2022-11-16 19:31:04.930
1123463465,2022-11-16 19:31:01.193
1123466476,2022-11-16 19:30:22.960
1123459271,2022-11-16 19:30:22.443
1123462321,2022-11-16 19:30:19.273
1123463064,2022-11-16 19:30:16.337
1123459394,2022-11-16 19:30:16.210
1123465665,2022-11-16 19:30:15.680
1123458354,2022-11-16 19:30:15.383
1123460905,2022-11-16 19:30:13.227
1123466856,2022-11-16 19:30:12.757
1123465380,2022-11-16 19:30:06.790
1123462897,2022-11-16 19:30:06.443
1123460159,2022-11-16 19:30:06.163
1123465787,2022-11-16 19:27:00.757
1123464557,2022-11-16 19:24:04.867
1123458193,2022-11-16 19:24:02.773
1123458439,2022-11-16 19:23:03.100
1123462724,2022-11-16 19:23:02.100
1123460691,2022-11-16 19:22:06.287
1123459824,2022-11-16 19:22:02.850
1123464617,2022-11-16 19:21:02.407
1123466641,2022-11-16 19:19:03.217
1123458753,2022-11-16 19:18:10.030
1123462983,2022-11-16 19:18:02.683
1123462853,2022-11-16 19:14:03.803
1123465899,2022-11-16 19:13:00.850
1123463313,2022-11-16 19:11:00.690
1123458983,2022-11-16 19:04:00.360
1123464569,2022-11-16 19:01:01.220
1123462758,2022-11-16 19:00:27.187
1123458989,2022-11-16 19:00:26.873
1123467167,2022-11-16 19:00:24.140
1123461627,2022-11-16 19:00:23.110
1123461159,2022-11-16 19:00:22.717
1123465269,2022-11-16 19:00:21.780
1123461415,2022-11-16 19:00:21.280
1123459120,2022-11-16 19:00:20.780
1123458923,2022-11-16 19:00:17.437
1123465657,2022-11-16 19:00:15.670
1123460157,2022-11-16 19:00:15.157
1123465148,2022-11-16 19:00:14.657
1123458980,2022-11-16 19:00:09.593
1123468009,2022-11-16 19:00:01.297
1123459234,2022-11-16 18:57:01.650
1123463384,2022-11-16 18:57:01.310
1123466849,2022-11-16 18:53:01.430
1123462975,2022-11-16 18:53:01.087
1123461761,2022-11-16 18:53:00.760
1123464183,2022-11-16 18:50:11.803
1123466644,2022-11-16 18:50:11.270
1123460549,2022-11-16 18:50:10.930
1123461493,2022-11-16 18:50:02.820
1123467239,2022-11-16 18:47:02.923
1123466588,2022-11-16 18:45:01.980
1123458082,2022-11-16 18:45:01.310
1123466535,2022-11-16 18:44:02.637
1123459325,2022-11-16 18:41:08.760
1123464104,2022-11-16 18:41:04.667
1123458299,2022-11-16 18:35:01.460
1123466805,2022-11-16 18:35:00.853
1123460636,2022-11-16 18:34:00.930
1123463219,2022-11-16 18:33:01.977
1123465491,2022-11-16 18:30:33.427
1123465587,2022-11-16 18:30:31.960
1123464540,2022-11-16 18:30:28.460
1123458992,2022-11-16 18:30:26.210
1123465057,2022-11-16 18:30:25.787
1123467744,2022-11-16 18:30:25.147
1123462251,2022-11-16 18:30:24.600
1123463029,2022-11-16 18:30:23.910
1123464618,2022-11-16 18:30:23.583
1123466860,2022-11-16 18:30:20.660
1123462235,2022-11-16 18:30:20.367
1123460301,2022-11-16 18:30:16.350
1123462224,2022-11-16 18:30:15.927
1123459902,2022-11-16 18:30:15.460
1123460101,2022-11-16 18:30:14.927
1123463363,2022-11-16 18:30:09.880
1123460165,2022-11-16 18:30:01.427
1123467446,2022-11-16 18:29:03.253
1123464952,2022-11-16 18:29:01.127
1123461430,2022-11-16 18:25:02.807
1123462993,2022-11-16 18:24:03.587
1123462929,2022-11-16 18:24:02.117
1123465859,2022-11-16 18:24:01.680
1123458219,2022-11-16 18:24:01.337
1123465475,2022-11-16 18:24:00.913
1123459605,2022-11-16 18:23:06.787
1123463364,2022-11-16 18:20:00.497
1123458046,2022-11-16 18:19:04.163
1123461135,2022-11-16 18:15:04.087
1123464250,2022-11-16 18:13:01.097
1123462071,2022-11-16 18:12:04.487
1123463417,2022-11-16 18:11:02.097
1123466767,2022-11-16 18:11:00.893
1123464207,2022-11-16 18:10:07.300
